Cuenca;Cuerpo de Agua;Codigo;Fase;An/O INICIO;An/O FINAL;Responsable del muestreo;Clase: Indice Holandes;Clase: Indice BMWP-CR;Clasificacion del tramo del CA;geometry;Longitud (CRTM05);Latitud (CRTM05);Sitio de Muestreo;Provincia;Canton;Distrito;Mes;Año;Régimen_de_lluvia;Indice_Holandés;Interpretacion_I_Holandés;Indice_Biológico;Interpretacion_I_Biológico;ESTADO ACTUAL;;;;;;;;;;;;;
Banano;Rio Banano;C-BANANO-02;II;2016;2017;UCR;2;3;3;c(607646,825918828, 1096504,27314073);607647;1096504;Beverly;Limon;Limon;Matama;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;La Cabra ;PN-BAR-01;III;2017;2018;TEC;2;2;2;c(435084, 1119313);435084;1119313;Piedades Sur;Alajuela;San Ramon;Piedades Sur;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Barranca;Barranquilla ;PN-BAR-02;III;2017;2018;TEC;1;2;2;c(431170, 1116259);431170;1116259;Piedades Sur;Alajuela;San Ramon;Piedades Sur;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;Jabonal ;PN-BAR-03;III;2017;2018;TEC;2;3;3;c(429923, 1114448);429923;1114448;Carrera Nueva;Alajuela;San Ramon;Zapotal;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;Barranca;PN-BAR-04;III;2017;2018;TEC;1;3;3;c(459288, 1123742);459288;1123742;Cirri Sur;Alajuela;Naranjo;Cirri Sur;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;Barranca ;PN-BAR-05;III;2017;2018;TEC;2;2;2;c(441837, 1113776);441837;1113776;Piedades Sur;Alajuela;San Ramon;Alfaro;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;Barranca ;PN-BAR-06;III;2017;2018;TEC;2;2;2;c(430232, 1107699);430232;1107699;San Jeronimo;Puntarenas;Esparza;Macacona;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Barranca;Barranca ;PN-BAR-07;III;2017;2018;TEC;1;1;1;c(423874, 1105780);423874;1105780;Barranca;Puntarenas;Puntarenas;Barranca;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Barranca;Barranca ;PN-BAR-08;III;2017;2018;TEC;2;2;2;c(422334, 1104536);422334;1104536;Barranca;Puntarenas;Puntarenas;Barranca;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Baru;Rio Diamante;PC-BAR-01;I;2015;2016;UCR;2;1;2;c(523585,687849393, 1024342,16505409);523586;1024342;En camino sobre el punte rio Diamante.;San Jose;Perez Zeledon;Baru;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Baru;Rio Baru;PC-BAR-02;I;2015;2016;UCR;2;1;2;c(519597,828626641, 1024524,44295162);519598;1024524;Camino a Libano. Brazo izquierdo de la isla;San Jose;Perez Zeledon;Baru;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Baru;Rio Baru;PC-BAR-03;I;2015;2016;UCR;2;1;2;c(515570,486253967, 1025241,65173165);515570;1025242;En desembocadura de quebrada Espavel;Puntarenas;Osa;Bahia Ballena;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Bebedero;Can/as;PN-BEB-01;III;2017;2018;UCR;1;2;2;c(380766,86, 1152545,41);380767;1152545;Can/as;Guanacaste;Can/as;Can/as;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Bebedero;Piedras;PN-BEB-02;III;2017;2018;UCR;2;1;2;c(367338,22, 1149747,29);367338;1149747;Cercano a Hacienda Mojica;Guanacaste;Bagaces;Bagaces;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Bebedero;Bebedero;PN-BEB-03;III;2017;2018;UCR;2;4;4;c(368908,16, 1146581,26);368908;1146581;Bebedero;Guanacaste;Can/as;Bebedero;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Bebedero;Santa Rosa;PN-BEB-04;III;2017;2018;UCR;2;2;2;c(393740,93, 1159078,99);393741;1159079;Tilaran;Guanacaste;Tilaran;Santa Rosa;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Bebedero;Blanco;PN-BEB-05;III;2017;2018;UCR;2;3;3;c(367653,27, 1181807,91);367653;1181808;Bajo Macua;Guanacaste;Bagaces;Fortuna;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Damas;Rio Damas;PC-DAM-01;I;2015;2016;TEC;1;1;1;c(478576,881062, 1053257,52357);478577;1053258;Damas (Finca Las Cuevas). ;Puntarenas;Parrita;Parrita;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Damas;Rio Damas;PC-DAM-02;I;2015;2016;TEC;2;2;2;c(475877,11352, 1051839,84618);475877;1051840;Pocares. ;Puntarenas;Parrita;Parrita;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Damas;Rio Paquita;PC-DAM-03;I;2015;2016;TEC;1;3;3;c(489633,98369, 1051065,60194);489634;1051066;Paso Real;Puntarenas;Aguirre;Naranjito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Damas;Rio Paquita;PC-DAM-04;I;2015;2016;TEC;2;2;2;c(480470,261591, 1046522,55946);480470;1046523;Damas (Detras del Redondel);Puntarenas;Aguirre;Quepos;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Piedras Blancas;PS-ESQ-01;V;2019;2020;UCR;2;1;2;c(583319,21, 970837,56);583319,21;970837,56;Punto 1, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Piedras Blancas;PS-ESQ-02;V;2019;2020;UCR;1;1;1;c(603913,51, 958332,51);603913,51;958332,51;Punto 2, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Claro;PS-ESQ-03;V;2019;2020;UCR;2;1;2;c(593881,96, 958299,35);593881,96;958299,35;Punto 3, Rio Claro;Puntarenas;Golfito;Golfito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Coto Colorado;PS-ESQ-04;V;2019;2020;UCR;2;1;2;c(602048,97, 956133);602048,97;956133;Punto 4, Rio Coto Colorado;Puntarenas;Golfito;Golfito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Corredores;PS-ESQ-05;V;2019;2020;UCR;2;1;2;c(616296,2, 955585,48);616296,2;955585,48;Punto 5, Rio Corredores;Puntarenas;Corredores;Corredor;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Esquinas;Coloradillo;PS-ESQ-06;V;2019;2020;UCR;2;1;2;c(620864,78, 951524,78);620864,78;951524,78;Punto 6, Rio Coloradito;Puntarenas;Corredores;Paso Canoas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Estrella;Rio Cohen;C-EST-01;II;2016;2017;TEC;2;1;2;c(592527,173993, 1075888,68053);592527;1075889;Control Tributario;Limon;Limon;Valle La Estrella;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Estrella;Rio Estrella;C-EST-02;II;2016;2017;TEC;1;1;1;c(597935,684289, 1075672,97359);597936;1075673;Boca Cohen;Limon;Limon;Valle La Estrella;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Estrella;Rio Estrella;C-EST-03;II;2016;2017;TEC;2;2;3;c(615149,50571, 1078051,23246);615150;1078051;La Guaria;Limon;Limon;Valle La Estrella;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Estrella;Rio Estrella;C-EST-04;II;2016;2017;TEC;2;3;3;c(619158,216451, 1082458,24075);619158;1082458;Tajo Penshurt;Limon;Limon;Valle La Estrella;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Quebradas;PS-GTE-01;V;2019;2020;UNA;3;1;3;c(532996, 1041620);532996;1041620;PS-GTE-01;San Jose;Perez Zeledon;Rivas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Pedregoso;PS-GTE-02;V;2019;2020;UNA;2;1;2;c(530449, 1034120);530449;1034120;PS-GTE-02;San Jose;Perez Zeledon;San Isidro del General;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Pacuar;PS-GTE-03;V;2019;2020;UNA;2;1;2;c(530356, 1031640);530356;1031640;PS-GTE-03;San Jose;Perez Zeledon;San Isidro del General;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;General;PS-GTE-04;V;2019;2020;UNA;2;1;2;c(540450, 1024550);540450;1024550;PS-GTE-04;San Jose;Perez Zeledon;San Isidro del General;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Volcan;PS-GTE-05;V;2019;2020;UNA;2;1;2;c(560402, 1018153);560402;1018153;PS-GTE-05;Puntarenas;Buenos Aires;Volcan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Volcan;PS-GTE-06;V;2019;2020;UNA;2;2;2;c(563052, 1014805);563052;1014805;PS-GTE-06;Puntarenas;Buenos Aires;Volcan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Coto Brus;PS-GTE-07;V;2019;2020;UNA;2;1;2;c(606327, 984614);606327;984614;PS-GTE-07;Puntarenas;Coto Brus;San Vito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Grande de Terraba;Coto Brus;PS-GTE-08;V;2019;2020;UNA;3;2;3;c(589428, 995105);589428;995105;PS-GTE-08;Puntarenas;Coto Brus;San Vito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-01;I;2015;2016;UCR;4;1;4;c(438644,729985164, 1103797,50032355);438645;1103798;San Juan de Dios, San Mateo;Alajuela;San Mateo;San Mateo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-02;I;2015;2016;UCR;2;1;2;c(433448,72374873, 1101402,6599973);433449;1101403;Puente Damas;Alajuela;San Mateo;Labrador;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-03;I;2015;2016;UCR;3;1;3;c(427001,802844264, 1096916,04045578);427002;1096916;Puente camino a Labrador;Alajuela;San Mateo;Labrador;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-04;I;2015;2016;UCR;3;3;3;c(426346,011561504, 1096039,70377099);426346;1096040;Puente de la ruta 27 sobre rio Jesus Maria;Puntarenas;Esparza;San Juan Grande;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Machuca;PC-JES-05;I;2015;2016;UCR;2;1;2;c(442899, 1097938);442899;1097938;Puente sobre rio Machuca. Ruta San Mateo-Orotina;Alajuela;San Mateo;Desmonte;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-06;I;2015;2016;UCR;2;2;2;c(424452,336263351, 1095217,52287495);424452;1095218;Punto 6 en Finca Vargas-Salas;Alajuela;Orotina;La Ceiba;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Jesus Maria;Rio Jesus Maria;PC-JES-07;I;2015;2016;UCR;2;3;3;c(424914,076127478, 1093895,15879678);424914;1093895;Punto 7 en Finca Vargas-Salas;Alajuela;Orotina;La Ceiba;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Madre de Dios;Rio Madre de Dios;C-MAD-01;II;2016;2017;UNA;3;2;3;c(564448, 1114320);564448;1114320;Vegas;Limon;Matina;Batan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Madre de Dios;Rio Can/o Azul;C-MAD-02;II;2016;2017;UNA;3;4;4;c(569791, 1121546);569791;1121546;Cerca del poblado de Sahara;Limon;Siquirres;Pacuarito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Madre de Dios;Rio Madre de Dios;C-MAD-03;II;2016;2017;UNA;3;3;3;c(569864, 1121460);569864;1121460;Sahara;Limon;Matina;Batan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Matina;Rio Matina;C-MAT-01;II;2016;2017;UNA;3;3;3;c(584311, 1119663);584311;1119663;Barra Matina Norte;Limon;Matina;Matina;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Matina;Rio Matina;C-MAT-02;II;2016;2017;UNA;3;4;4;c(587660, 1119040);587660;1119040;Boca Rio Matina;Limon;Matina;Matina;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Matina;Rio Matina;C-MAT-03;II;2016;2017;UNA;3;2;3;c(579394, 1114132);579394;1114132;Luisa Este;Limon;Matina;Matina;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Matina;Rio Barbilla;C-MAT-04;II;2016;2017;UNA;3;2;3;c(568897, 1112449);568897;1112449;Barbilla. Cerca de Finca Gemelas;Limon;Matina;Batan;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Matina;Rio Chirripo;C-MAT-05;II;2016;2017;UNA;3;2;3;c(576526, 1105216);576526;1105216;Aguas arriba de la union del rio Zent con el rio Chirripo;Limon;Matina;Matina;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Matina;Rio Chirripo;C-MAT-06;II;2016;2017;UNA;3;2;3;c(572276, 1101262);572276;1101262;Playa Hermosa;Limon;Matina;Matina;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Matina;Rio Chirripo;C-MAT-07;II;2016;2017;TEC;2;2;2;c(570379, 1083192);570379;1083192;Roca Quemada;Cartago;Turrialba;Chirripo;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Matina;Rio Chirripo;C-MAT-08;II;2016;2017;TEC;1;2;2;c(569987, 1082807);569987;1082807;Dikoklorinak;Cartago;Turrialba;Chirripo;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Moin;Rio Blanco;C-MOI-01;II;2016;2017;UCR;2;1;2;c(591520,71426963, 1099004,61675266);591521;1099005; La Victoria;Limon;Limon;Rio Blanco;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Moin;Rio Blanco;C-MOI-02;II;2016;2017;UCR;2;2;2;c(595924,747673252, 1104968,4121655);595925;1104968;Liverpool;Limon;Limon;Rio Blanco;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Moin;Rio Limoncito;C-MOI-03;II;2016;2017;UCR;2;1;2;c(602652,525250661, 1100493,37653155);602653;1100493;Valle La Aurora;Limon;Limon;Matama;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Moin;Rio Limoncito;C-MOI-04;II;2016;2017;UCR;5;4;5;c(604923,945742887, 1104152,75420061);604924;1104153;Barrio Limoncito;Limon;Limon;Limon;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Naranjo;Rio Naranjo;PC-NAR-01;I;2015;2016;UNA;1;1;1;c(494958, 1049620);494958;1049620;Por Esquipulas;San Jose;Tarrazu;San Lorenzo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Naranjo;Rio Naranjo;PC-NAR-02;I;2015;2016;UNA;1;1;1;c(492323, 1046307);492323;1046307;Puente Rio Naranjo;Puntarenas;Aguirre;Naranjito;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Naranjo;Rio Naranjo;PC-NAR-03;I;2015;2016;UNA;1;2;2;c(487152, 1042701);487152;1042701;Puente Rio Naranjo en la Costanera;Puntarenas;Aguirre;Quepos;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Naranjo;Quebrada Escandalosa;PC-NAR-04;I;2015;2016;UNA;3;2;3;c(493052, 1038399);493052;1038399;Caserio Mona;Puntarenas;Aguirre;Quepos;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-01;II;2016;2017;TEC;2;2;2;c(553952,786257, 1086598,71978);553953;1086599;Bajo Pacuare;Cartago;Turrialba;Tayutic;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-02;II;2016;2017;UCR;2;1;2;c(549561,679383256, 1104203,60858089);549562;1104204;Finca Tres Equis;Cartago;Turrialba;Tres Equis;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Pacuare;Rio Siquirres;C-PAC-03;II;2016;2017;UCR;2;2;2;c(561423,243580035, 1122417,35546793);561423;1122417;Indiana Tres;Limon;Siquirres;Siquirres;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-04;II;2016;2017;UNA;3;2;3;c(556395, 1116515);556395;1116515;Betania;Limon;Siquirres;Pacuarito;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-05;II;2016;2017;UNA;4;2;4;c(559157, 1118911);559157;1118911;Indiana Dos;Limon;Siquirres;Pacuarito;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-06;II;2016;2017;UNA;3;4;4;c(573103, 1128204);573103;1128204;San Rafael;Limon;Siquirres;Pacuarito;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Pacuare;Rio Pacuare;C-PAC-07;II;2016;2017;UNA;4;2;4;c(573104, 1128204);573104;1128204;San Rafael;Limon;Siquirres;Pacuarito;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Parrita;Rio Pirris;PC-PAR-01;I;2015;2016;UCR;2;1;2;c(507464,955914479, 1066602,780913);507465;1066603;Camino a Copey de Dota;San Jose;Dota;Copey;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Parrita;Rio Pirris;PC-PAR-02;I;2015;2016;UCR;3;1;3;c(494663,598162721, 1067817,88746221);494664;1067818;Camino por Sabana;San Jose;Tarrazu;San Lorenzo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Parrita;Rio Pirris;PC-PAR-03;I;2015;2016;TEC;1;2;2;c(470905,970253, 1067483,32416);470906;1067483;Las Vegas;San Jose;Acosta;Sabanillas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Parrita;Rio Candelaria;PC-PAR-04;I;2015;2016;TEC;1;2;2;c(479275,444853, 1081225,39317);479275;1081225;Cangrejal ;San Jose;Acosta;Cangrejal;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Parrita;Rio Candelaria;PC-PAR-05;I;2015;2016;TEC;1;2;2;c(464126,123399, 1080032,69848);464126;1080033;Bajo Los Plomos;San Jose;Acosta;Sabanillas;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Peninsula de Nicoya;Morote;PN-PEN-01;III;2017;2018;UNA;3;2;3;c(349842, 1117119);349842;1117119;Mansion;Guanacaste;Nicoya;Mansion;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Morote;PN-PEN-02;III;2017;2018;UNA;2;2;2;c(355309, 1113777);355309;1113777;Uvita;Guanacaste;Nicoya;Mansion;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Morote;PN-PEN-03;III;2017;2018;UNA;;3;3;c(365172, 1112633);365172;1112633;Finca Pozo de Piedra;Guanacaste;Nicoya;Nicoya;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Peninsula de Nicoya;Nosara;PN-PEN-04;III;2017;2018;UNA;2;2;2;c(317976, 1102883);317976;1102883;Santa Marta;Guanacaste;Nicoya;Nosara;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Nosara;PN-PEN-05;III;2017;2018;UNA;3;3;3;c(331169, 1109457);331169;1109457;Juntas;Guanacaste;Nicoya;Nosara;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Bongo ;PN-PEN-06;III;2017;2018;TEC;2;3;3;c(367100, 1077698);367100;1077698;Bongo;Guanacaste;Nandayure;Bejuco;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Blanco;PN-PEN-07;III;2017;2018;TEC;2;3;3;c(369901, 1088599);369901;1088599;Zapote;Puntarenas;Puntarenas;Lepanto;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Ario;PN-PEN-08;III;2017;2018;TEC;2;3;3;c(369108, 1075466);369108;1075466;Bajo Ario;Puntarenas;Puntarenas;Paquera;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Nicoya;Ario;PN-PEN-09;III;2017;2018;TEC;3;3;3;c(377981, 1077549);377981;1077549;San Ramon de Ario;Puntarenas;Puntarenas;Paquera;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Sierpe;PS-POS-02;V;2019;2020;UCR;2;4;4;c(561638,5, 978793,43);561638,5;978793,43;Punto 7, Rio Sierpe, poblado La Hacienda;Puntarenas;Osa;Sierpe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Sierpe;PS-POS-01;V;2019;2020;UCR;3;1;3;c(574425,84, 973585,82);574425,84;973585,82;Punto 8, Rio Sierpe, Finca Cartago;Puntarenas;Osa;Sierpe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Progreso;PS-POS-03;V;2019;2020;TEC;2;1;2;c(540780, 963406);540780;963406;El Progreso ;Puntarenas;Osa;Sierpe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Drake;PS-POS-04;V;2019;2020;TEC;2;1;2;c(540031, 963224);540031;963224;El Progreso ;Puntarenas;Osa;Sierpe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Q. El Carmen;PS-POS-05;V;2019;2020;TEC;2;2;2;c(537199, 960976);537199;960976;Drake centro ;Puntarenas;Osa;Sierpe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Rincon;PS-POS-06;V;2019;2020;TEC;2;1;2;c(556454, 952686);556454;952686;Pavones;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Rincon;PS-POS-07;V;2019;2020;TEC;2;2;2;c(557699, 960827);557699;960827;Rincon ;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Tigre;PS-POS-08;V;2019;2020;TEC;1;1;1;c(565955, 942456);565955;942456;Gallardo;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Tigre;PS-POS-09;V;2019;2020;TEC;2;2;2;c(573396, 945256);573396;945256;Puente sobre rio Tigre ;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Peninsula de Osa;Q. Cacao;PS-POS-10;V;2019;2020;TEC;2;4;4;c(576705, 943931);576705;943931;Calle Manglar/ Puerto Jimenez centro ;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Peninsula de Osa;Afluente quebrada Cacao;PS-POS-10.1;V;2019;2020;TEC;3;3;3;c(576535, 943377);576535;943377;Calle Manglar/ Puerto Jimenez centro. Aguas arriba del punto 10;Puntarenas;Golfito;Puerto Jimenez;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Taras;C-REV-01;II;2016;2017;TEC;3;5;5;c(506671,898549, 1092705,08678);506672;1092705;Barrio El Caracol;Cartago;Cartago;San Nicolas;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Purires;C-REV-02;II;2016;2017;TEC;2;2;2;c(499318,84782, 1087030,56436);499319;1087031;Tablon;Cartago;Cartago;Guadalupe;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Purires;C-REV-03;II;2016;2017;TEC;4;4;4;c(505246, 1087450);505246;1087450;San Isidro de El Guarco ;Cartago;El Guarco;San Isidro;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Agua Caliente;C-REV-04;II;2016;2017;TEC;3;4;4;c(514164,196044, 1084516,13619);514164;1084516;Puente Negro;Cartago;Cartago;Dulce Nombre;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Grande de Orosi;C-REV-05;II;2016;2017;TEC;2;2;2;c(516802,377274, 1082233,60141);516802;1082234;Palomo;Cartago;Paraiso;Orosi;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Pejibaye;C-REV-06;II;2016;2017;TEC;1;2;2;c(534974,928696, 1087583,00351);534975;1087583;Pejibaye;Cartago;Jimenez;Pejibaye;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Reventazon;Rio Atirro;C-REV-07;II;2016;2017;TEC;1;1;1;c(538084,027512, 1087094,59916);538084;1087095;Atirro;Cartago;Turrialba;La Suiza;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Reventazon;Rio Tuis;C-REV-08;II;2016;2017;TEC;2;2;2;c(539801, 1091071);539801;1091071;La Suiza;Cartago;Turrialba;La Suiza;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Reventazon;Quebrada El Colorado;C-REV-09;II;2016;2017;TEC;3;3;3;c(533672,547285, 1096155,50439);533673;1096156;Barrio El Poro;Cartago;Turrialba;Turrialba;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
Reventazon;Rio Paez;C-REV-10;II;2016;2017;TEC;3;3;3;c(515725,174988, 1088402,94978);515725;1088403;Birrisito;Cartago;Paraiso;Paraiso;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Reventazon;C-REV-11;II;2016;2017;UNA;3;3;3;c(538321, 1094946);538321;1094946;Bajo Chino;Cartago;Turrialba;Turrialba;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Reventazon;C-REV-12;II;2016;2017;UNA;3;4;4;c(551179, 1117583);551179;1117583;Junta;Limon;Siquirres;Cairo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Reventazon;Rio Reventazon;C-REV-13;II;2016;2017;UNA;3;5;5;c(555993, 1125844);555993;1125844;Milla Cinco;Limon;Siquirres;Cairo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Savegre;PC-SAV-01;I;2015;2016;UCR;2;1;2;c(521483,65459896, 1056755,41216223);521484;1056755;En Trogon Lodge;San Jose;Dota;Copey;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Savegre;PC-SAV-02;I;2015;2016;UCR;2;3;3;c(520292,878679623, 1055374,19153031);520293;1055374;En Truchas Reales ;San Jose;Dota;Copey;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Savegre;PC-SAV-03;I;2015;2016;UNA;2;1;2;c(504072, 1043116);504072;1043116;Brujo;Copey;Dota;San Jose;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Savegre;PC-SAV-04;I;2015;2016;UNA;2;2;2;c(495894, 1037499);495894;1037499;Savegre;Puntarenas;Aguirre;Savegre;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Division;PC-SAV-05;I;2015;2016;UCR;2;1;2;c(526377,505824732, 1049216,87408997);526378;1049217;En Santa Eduviges;San Jose;Perez Zeledon;Paramo;;;;;;;;Monitoreo activo;;;;;;;;;;;;;
Savegre;Rio Savegre;PC-SAV-06;I;2015;2016;UCR;2;2;2;c(495005,17093936, 1041790,35121131);495005;1041790;Asentamiento Savegre;Puntarenas;Aguirre;Naranjito;;;;;;;;Suspendido el monitoreo;;;;;;;;;;;;;
